./data_files/66°30.xls: 14031L0
   acronym  code  concentration
3      EAU     4         0.5348
4     ADDI    27         0.0800
5     ADDI    10         0.0200
6     ACTI   270         0.0030
7     ADDI    17         0.0050
8     ADDI    98         0.0021
10    CGRA    15         0.0800
11    CGRA   556         0.0350
12    HUIL    18         0.1000
13    HUIL   174         0.0300
14    ADDI     2         0.0050
16    GELI    15         0.0050
18    HUME     2         0.0300
19    CONS    11         0.0020
20    CONS    37         0.0030
22     EAU     3         0.0300
23    ACTI    31         0.0001
25    ACTI   175         0.0100
26    PARF   154         0.0050
27    ACTI  1076         0.0200

./data_files/14100 à 14300.xls: 14143L1
   acronym  code  concentration
3      EAU     4         0.5378
4     ADDI    27         0.0800
5     ADDI    10         0.0200
6     ACTI   270         0.0030
7     ADDI    17         0.0050
8     ADDI    98         0.0021
10    CGRA    15         0.0800
11    CGRA   556         0.0350
12    HUIL    18         0.1000
13    HUIL   174         0.0300
14    ADDI     2         0.0050
16    GELI    15         0.0050
18    HUME     2         0.0300
19    CONS    11         0.0020
20    CONS    37         0.0030
22     EAU     3         0.0300
23    ACTI    31         0.0001
25    ACTI   175         0.0100
26    PARF   154         0.0020
27    ACTI  1076         0.0200

./data_files/14100 à 14300.xls: 14143L2
   acronym  code  concentration
3      EAU     4         0.5288
4     ADDI    27         0.0800
5     ADDI    10         0.0200
6     ACTI   270         0.0040
7     ADDI    17         0.0050
8     ADDI    98         0.0021
10    CGRA    15         0.0800
11    CGRA   556         0.0350
12    HUIL    18         0.1000
13    HUIL   174         0.0300
14    ADDI     2         0.0020
16    GELI    15         0.0050
18    HUME     2         0.0300
19    CONS    11         0.0100
20    CONS    37         0.0030
22     EAU     3         0.0300
23    ACTI    31         0.0001
25    ACTI   175         0.0100
26    PARF   154         0.0050
27    ACTI  1076         0.0200

./data_files/14100 à 14300.xls: 14144L0
   acronym  code  concentration
3      EAU     4        0.76953
4     ADDI     3        0.00050
5     HUME     2        0.05000
6     GELI    17        0.00300
8     ADDI    98        0.00090
10    GELI    15        0.00500
12    HUIL   124        0.02000
13    SILI    14        0.02000
14    PARF   154        0.00200
16    CONS    11        0.01000
17    CONS    37        0.00300
18    CONS    23        0.00100
19    HUME    16        0.01000
21     EAU     4        0.03000
22    ACTI    31        0.00010
24     EAU     4        0.03000
25    ACTI  1077        0.00400
27    ACTI   175        0.02000
28    ACTI  1076        0.02000
29    ADDI     1        0.00097

./data_files/14100 à 14300.xls: 14144L1
   acronym  code  concentration
3      EAU     4        0.77053
4     ADDI     3        0.00050
5     HUME     2        0.05000
6     GELI    17        0.00300
8     ADDI    98        0.00090
10    GELI    15        0.00500
12    HUIL   124        0.02000
13    SILI    14        0.02000
14    PARF   154        0.00100
16    CONS    11        0.01000
17    CONS    37        0.00300
18    CONS    23        0.00100
19    HUME    16        0.01000
21     EAU     4        0.03000
22    ACTI    31        0.00010
24     EAU     4        0.03000
25    ACTI  1077        0.00400
27    ACTI   175        0.02000
28    ACTI  1076        0.02000
29    ADDI     1        0.00097

./data_files/14100 à 14300.xls: 14145L0
   acronym  code  concentration
3      EAU     8         0.7015
4     ADDI     3         0.0005
5     GELI    17         0.0050
6     HUME     2         0.0500
7     HUME     5         0.0300
8     ACTI     9         0.0050
10    ADDI    98         0.0010
12    GELI    15         0.0150
14    SILI    48         0.0250
15    SILI    23         0.0200
16    SILI     7         0.0500
17    HUIL    26         0.0300
19    CONS    37         0.0030
20    CONS    23         0.0010
21    HUME    16         0.0100
22    CONS    56         0.0030
24    ACTI   488         0.0100
25    ACTI   175         0.0200
26    ACTI  1076         0.0200

./data_files/14100 à 14300.xls: 14145L1
   acronym  code  concentration
3      EAU     8         0.7465
4     ADDI     3         0.0005
5     GELI    17         0.0050
6     HUME     2         0.0500
7     HUME     5         0.0300
8     ACTI     9         0.0050
10    ADDI    98         0.0010
12    GELI    15         0.0100
14    SILI    48         0.0100
15    SILI    23         0.0100
16    SILI     7         0.0500
17    HUIL    26         0.0300
19    CONS    37         0.0030
20    CONS    23         0.0010
21    HUME    16         0.0100
22    CONS    56         0.0030
24    ACTI   488         0.0100
25    ACTI   175         0.0200
26    ACTI  1076         0.0040
27    PARF   154         0.0010

./data_files/14100 à 14300.xls: 14145L2
   acronym  code  concentration
3      EAU     8         0.7415
4     ADDI     3         0.0005
5     GELI    17         0.0050
6     HUME     2         0.0500
7     HUME     5         0.0300
8     ACTI    41         0.0050
9     ACTI     9         0.0050
11    ADDI    98         0.0010
13    GELI    15         0.0100
15    SILI    48         0.0100
16    SILI    23         0.0100
17    SILI     7         0.0500
18    HUIL    26         0.0300
20    CONS    37         0.0030
21    CONS    23         0.0010
22    HUME    16         0.0100
23    CONS    56         0.0030
25    ACTI   488         0.0100
26    ACTI   175         0.0200
27    ACTI  1076         0.0040
28    PARF   154         0.0010

./data_files/14100 à 14300.xls: 14145L3
   acronym  code  concentration
3      EAU     8         0.7420
4     ADDI     3         0.0005
5     GELI    17         0.0050
6     HUME     2         0.0500
7     HUME     5         0.0300
8     ACTI    41         0.0050
9     ACTI     9         0.0050
11    ADDI    98         0.0010
13    GELI    15         0.0100
15    SILI    48         0.0100
16    SILI    23         0.0100
17    SILI     7         0.0500
18    HUIL    26         0.0300
20    CONS    37         0.0030
21    CONS    23         0.0010
22    HUME    16         0.0100
23    CONS    56         0.0030
25    ACTI   488         0.0100
26    ACTI   175         0.0200
27    ACTI  1076         0.0040
28    PARF   154         0.0005

./data_files/14100 à 14300.xls: 14149L0
   acronym  code  concentration
3      EAU     4         0.4881
4     ADDI    27         0.0800
5     ADDI    10         0.0200
6     ACTI   270         0.0040
7     ACTI   490         0.0010
8     GELI    75         0.0400
