acronym,code,concentration
SOL,8,0.00055
SOL,24,0.001
PARF,565,0.003
EAU,4,0.60405
HUME,2,0.03
GELI,18,0.003
EMUL,67,0.05
FSOL,48,0.06
FSOL,5,0.06
FSOL,24,0.03
HUIL,54,0.01
FSOL,54,0.03
HUIL,161,0.005
SILI,3,0.02
ACTI,44,0.005
ADDI,62,0.0028
ADDI,102,0.0006
FSOL,55,0.02
HUME,16,0.02
CONS,37,0.003
CONS,56,0.002
ACTI,713,0.04
SOL,8,0.00055
SOL,24,0.001
PARF,565,0.003
EAU,4,0.60405
HUME,2,0.03
GELI,18,0.003
EMUL,67,0.05
FSOL,48,0.06
FSOL,5,0.06
FSOL,24,0.03
HUIL,54,0.01
FSOL,54,0.03
HUIL,161,0.005
SILI,3,0.02
ACTI,44,0.005
FSOL,55,0.02
HUME,16,0.02
CONS,37,0.003
CONS,56,0.002
ACTI,713,0.04
ADDI,62,0.0028
ADDI,102,0.0006
SOL,8,0.00055
SOL,24,0.001
PARF,565,0.003
EAU,5,0.6724
ADDI,3,0.0005
HUME,2,0.03
HUME,7,0.03
GELI,17,0.004
HUIL,1,0.05
HUIL,18,0.05
GELI,15,0.012
ACTI,31,0.0001
EXTR,266,0.005
ACTI,829,0.01
ACTI,80,0.01
VITA,512,0.002
HUME,16,0.02
CONS,64,0.002
ACTI,713,0.04
ACTI,118,0.002
SOLV,2,0.01
ADDI,123,0.7718
GELI,92,0.1
ADDI,127,0.075
ADDI,125,0.01
ACTI,779,0.0001
GELI,75,0.03
ACTI,540,0.003
EXTR,324,0.0001
EAU,5,0.713
ADDI,3,0.0005
HUME,2,0.03
HUME,7,0.04
GELI,17,0.005
GELI,12,0.002
EMUL,3,0.02
HUIL,4,0.02
HUIL,127,0.02
HUIL,174,0.02
CGRA,14,0.04
SILI,29,0.02
ADDI,98,0.0015
HUME,16,0.01
CONS,56,0.003
CONS,37,0.003
CONS,23,0.001
ACTI,1109,0.02
ACTI,828,0.03
ACTI,991,0.001
EAU,5,0.772
ADDI,152,0.01
ADDI,3,0.0005
GELI,17,0.005
ADDI,98,0.0015
EMUL,3,0.03
CGRA,14,0.02
ACTI,7,0.05
HUIL,18,0.02
HUIL,1,0.01
HUIL,195,0.01
HUIL,24,0.01
CGRA,15,0.02
SILI,50,0.01
ACTI,828,0.03
ACTI,991,0.001
EAU,5,0.7584
ADDI,152,0.01
ADDI,3,0.0005
HUME,2,0.03
GELI,15,0.02
HUIL,1,0.06
SILI,29,0.04
EAU,3,0.05
EXTR,2,0.0001
ACTI,828,0.03
ACTI,991,0.001
EAU,5,0.9585
ACTI,31,0.0025
CONS,28,0.005
ACTI,1077,0.004
ACTI,1076,0.02
EXTR,147,0.01
EAU,5,0.8435
ADDI,3,0.0005
GELI,17,0.004
ADDI,98,0.0012
CONS,28,0.005
MOUS,9,0.01
PARF,403,0.0005
EAU,3,0.1
ACTI,1077,0.004
ACTI,1076,0.02
EXTR,183,0.01
ACTI,806,0.001
SOL,9,0.0003
EAU,5,0.8423
ADDI,3,0.0005
GELI,17,0.004
ACTI,878,0.01
GELI,15,0.02
HUIL,4,0.04
HUIL,18,0.04
PARF,378,0.001
ADDI,98,0.0012
ABC,96,0.005
EXTR,7,0.005
ACTI,1103,0.002
CONS,37,0.003
CONS,23,0.001
CONS,69,0.015
HUME,5,0.01
EAU,5,0.76
HUME,2,0.02
ACTI,31,0.0005
GELI,76,0.02
ACTI,412,0.03
HUIL,41,0.04
COLO,68,0.03
ACTI,44,0.005
ACTI,43,0.001
FSOL,5,0.01
FSOL,3,0.01
SILI,29,0.02
CONS,37,0.003
HUME,16,0.02
ACTI,667,0.02
ACTI,753,0.004
EAU,4,0.39982
HUME,2,0.03
ADDI,3,0.001
ADDI,33,0.01
GELI,16,0.005
EMUL,26,0.02
EMUL,41,0.1
HUIL,1,0.05
CGRA,14,0.005
MOUS,38,0.01
ACTI,738,0.01
SILI,8,0.02
SILI,7,0.05
FSOL,5,0.065
ACTI,469,0.04
FSOL,14,0.1
COLO,68,0.013
COLO,70,0.00045
COLO,69,0.0027
COLO,72,3e-05
SILI,14,0.02
HUME,5,0.02
CONS,37,0.003
CONS,64,0.008
CONS,56,0.003
HUME,16,0.01
PARF,167,0.003
ADDI,1,0.0092
EMUL,44,0.025
EMUL,35,0.02
SILI,7,0.05
SILI,14,0.045
FSOL,3,0.03
FSOL,5,0.075
FSOL,14,0.08
COLO,40,0.0005
COLO,41,0.003
COLO,42,3e-05
ADDI,57,0.005
PARF,167,0.003
EAU,4,0.62747
ADDI,152,0.01
HUME,2,0.02
ADDI,32,0.006
EMUL,81,0.045
HUIL,1,0.07
FSOL,3,0.03
FSOL,5,0.075
SILI,29,0.07
FSOL,14,0.04
FSOL,22,0.05
COLO,40,0.0005
COLO,41,0.003
COLO,42,3e-05
EAU,4,0.46747
ADDI,152,0.01
HUME,2,0.02
ADDI,32,0.006
SILI,14,0.06
PARF,167,0.003
ACTI,120,0.05
EAU,9,0.45989
GELI,84,0.003
HUME,2,0.01
ADDI,1,0.00011
MOUS,80,0.148
MOUS,3,0.129
MOUS,39,0.025
MOUS,71,0.06
MOUS,42,0.067
ACTI,270,0.005
MOUS,73,0.05
CONS,84,0.01
MOUS,41,0.03
PARF,263,0.003
EAU,5,0.94095
GELI,11,0.001
SOLV,2,0.052
ACTI,10,0.00025
CONS,7,0.003
ACTI,48,0.002
CONS,9,0.0005
SOL,9,0.0002
SOL,24,0.0001
EAU,5,0.70225
ADDI,3,0.001
CONS,37,0.0015
CONS,21,0.003
HUME,13,0.0075
GELI,18,0.01
ACTI,742,0.005
ACTI,1144,0.19
MOUS,9,0.02
PARF,377,0.003
ACTI,31,0.00015
EAU,3,0.05
ADDI,98,0.0066
EAU,4,0.5655
HUME,2,0.05
GELI,17,0.002
EMUL,6,0.04
CGRA,1,0.03
HUIL,13,0.2
SILI,28,0.02
SILI,23,0.01
EAU,3,0.05
ACTI,31,0.0001
ADDI,98,0.0004
ACTI,597,0.02
ADDI,152,0.01
PARF,269,0.002
EAU,4,0.6091
CONS,56,0.003
HUME,2,0.05
GELI,17,0.002
ADDI,98,0.0004
EMUL,6,0.04
CGRA,1,0.03
HUIL,13,0.15
SILI,28,0.02
ADDI,98,0.0004
SILI,23,0.01
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
EAU,3,0.05
ACTI,31,0.0001
ACTI,597,0.02
PARF,269,0.001
EAU,4,0.5690999999999999
HUME,2,0.05
GELI,17,0.002
ADDI,98,0.0004
EMUL,3,0.04
CGRA,1,0.02
HUIL,13,0.2
SILI,28,0.02
ADDI,98,0.0004
SILI,23,0.01
CONS,56,0.003
CONS,37,0.003
CONS,23,0.001
HUME,16,0.01
EAU,3,0.05
ACTI,31,0.0001
ACTI,597,0.02
PARF,269,0.001
EAU,5,0.599
ADDI,152,0.01
ADDI,27,0.08
ADDI,10,0.01
ADDI,17,0.005
CGRA,15,0.08
CGRA,556,0.05
HUIL,13,0.08
HUIL,18,0.03
HUIL,24,0.01
HUIL,195,0.01
GELI,15,0.005
ACTI,828,0.03
ACTI,991,0.001
EAU,5,0.597
ADDI,27,0.08
ACTI,270,0.004
ADDI,10,0.01
ADDI,17,0.005
CGRA,15,0.08
CGRA,556,0.05
HUIL,13,0.08
HUIL,18,0.03
HUIL,24,0.01
HUIL,195,0.01
ADDI,2,0.002
GELI,15,0.005
CONS,84,0.006
ACTI,828,0.03
ACTI,991,0.001
EAU,5,0.717
ACTI,21,0.01
HUME,2,0.05
CONS,37,0.002
CONS,52,0.001
HUME,17,0.15
EXTR,311,0.05
ACTI,597,0.02
EAU,5,0.667
ACTI,21,0.01
HUME,2,0.05
CONS,37,0.002
HUME,17,0.15
CONS,52,0.001
ACTI,597,0.02
EXTR,239,0.07
EXTR,254,0.03
ADDI,123,0.62
ADDI,25,0.12
GELI,92,0.1
ADDI,127,0.12
ADDI,125,0.04
EAU,4,0.7776
HUME,2,0.1
ACTI,721,0.02
MOUS,37,0.01
ADDI,152,0.01
HUME,16,0.01
MOUS,37,0.01
EAU,3,0.01
ADDI,98,0.0024
ACTI,850,0.05
EAU,5,0.712
EXTR,231,0.1
ACTI,21,0.01
ADDI,40,0.098
ACTI,97,0.02
HUME,2,0.05
ADDI,152,0.01
EAU,5,0.722
EXTR,231,0.1
HUME,2,0.02
ACTI,21,0.01
ADDI,40,0.098
ACTI,97,0.02
ADDI,152,0.01
HUME,16,0.01
MOUS,37,0.01
EAU,5,0.68
EXTR,231,0.1
ADDI,40,0.098
HUME,2,0.02
ACTI,21,0.01
ACTI,97,0.02
EAU,5,0.05
ADDI,2,0.002
CONS,63,0.01
HUME,16,0.01
EAU,4,0.696955
ACTI,3,0.001
ACTI,270,0.003
ADDI,152,0.01
ADDI,68,0.001
GELI,31,0.003
GELI,17,0.004
HUIL,13,0.06
EMUL,2,0.01
EMUL,20,0.05
HUIL,151,0.05
CGRA,48,0.005
HUIL,95,0.02
CGRA,67,0.03
CGRA,1,0.015
COLO,69,0.006
COLO,68,0.015
COLO,70,0.003
COLO,72,0.0003
SILI,28,0.005
ADDI,98,0.000645
ACTI,122,0.001
EXTR,324,0.0001
HUME,17,0.01
EAU,4,0.697155
ACTI,3,0.001
ACTI,270,0.003
ADDI,152,0.01
ADDI,68,0.001
GELI,31,0.003
GELI,17,0.004
HUIL,13,0.06
EMUL,2,0.01
EMUL,20,0.05
HUIL,151,0.05
CGRA,48,0.005
HUIL,95,0.02
CGRA,67,0.03
CGRA,1,0.015
COLO,69,0.003
COLO,68,0.02
COLO,70,0.001
COLO,72,0.0001
SILI,28,0.005
ADDI,98,0.000645
ACTI,122,0.001
EXTR,324,0.0001
HUME,17,0.01
EAU,5,0.825
ADDI,3,0.003
ACTI,270,0.004
HUME,2,0.03
GELI,18,0.002
HUME,16,0.015
CONS,37,0.003
CONS,63,0.007
EXTR,19,0.05
EXTR,65,0.05
ACTI,438,0.001
MOUS,27,0.01
EAU,4,0.617
ACTI,22,0.001
HUME,16,0.05
ACTI,270,0.003
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
ACTI,108,0.03
ACTI,104,0.01
ACTI,107,0.01
A2P,2,0.005
EAU,4,0.665
ACTI,22,0.001
HUME,16,0.05
ACTI,270,0.003
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
A2P,2,0.005
EAU,4,0.63662
ACTI,22,0.001
ACTI,270,0.003
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
HUME,16,0.05
A2P,2,0.02
ACTI,433,0.01
EAU,4,0.64165
ACTI,22,0.001
ACTI,270,0.003
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
HUME,16,0.05
A2P,2,0.02
ACTI,433,0.005
EAU,4,0.66242
ACTI,22,0.001
ACTI,270,0.003
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
HUME,16,0.05
A2P,2,0.002
ACTI,433,0.005
EAU,4,0.65732
ACTI,22,0.001
ACTI,270,0.003
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
HUME,16,0.05
A2P,2,0.002
ACTI,433,0.01
EAU,4,0.62761
ACTI,270,0.003
ACTI,22,0.001
ACTI,169,0.004
HUME,2,0.03
EXTS,503,0.005
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
HUME,16,0.05
CONS,61,0.008
ACTI,108,0.03
ACTI,107,0.01
ACTI,104,0.00439
EAU,4,0.604466
EXTR,186,0.02
EXTR,33,0.04
HUME,2,0.02
HUIL,44,0.05
SILI,3,0.01
HUIL,19,0.03
EMUL,53,0.08
CGRA,22,0.05
CONS,61,0.008
HUME,2,0.02
EXTS,503,0.005
ACTI,169,0.002
ACTI,22,0.005
EAU,4,0.05
ACTI,270,0.003
ADDI,1,0.000534
A2P,1,0.002
EAU,4,0.3919
ADDI,3,0.001
HUME,2,0.05
ACTI,169,0.004
CGRA,515,0.1
EMUL,14,0.05
CGRA,11,0.03
HUIV,509,0.01
HUIV,503,0.01
EMUL,69,0.005
ACTI,7,0.005
FSOL,3,0.01
FSOL,5,0.07
FSOL,48,0.06
FSOL,4,0.015
CONS,3,0.0001
FSOL,507,0.02
CONS,511,0.003
ACTI,22,0.01
EXTS,503,0.005
ACTI,59,0.05
EAU,1,0.1
EAU,4,0.564
HUME,5,0.02
ACTI,22,0.01
ACTI,169,0.002
FSOL,2,0.07
COLO,542,0.0085
COLO,508,0.004
CGRA,556,0.07
CGRA,15,0.01
EMUL,14,0.03
HUIL,13,0.04
HUIL,19,0.03
CGRA,1,0.01
CGRA,537,0.03
CONS,511,0.005
EAU,7,0.02
HUME,5,0.02
EXTS,503,0.005
ADDI,17,0.0015
ACTI,523,0.05
EAU,4,0.57538
HUME,5,0.02
ACTI,22,0.01
ACTI,169,0.002
FSOL,2,0.07
ADDI,17,0.00032
CGRA,556,0.07
CGRA,15,0.01
EMUL,14,0.03
HUIL,13,0.04
HUIL,19,0.03
CGRA,1,0.01
CGRA,537,0.03
CONS,511,0.005
EAU,7,0.02
HUME,5,0.02
EXTS,503,0.005
ADDI,17,0.0023
ACTI,523,0.05
EAU,4,0.56354
HUME,5,0.02
ACTI,22,0.01
ACTI,169,0.002
COLO,70,0.0037
COLO,72,0.00094
COLO,69,0.0072
FSOL,2,0.07
ADDI,17,0.00032
CGRA,556,0.07
CGRA,15,0.01
EMUL,14,0.03
HUIL,13,0.04
HUIL,19,0.03
CGRA,1,0.01
CGRA,537,0.03
CONS,511,0.005
EAU,7,0.02
HUME,5,0.02
EXTS,503,0.005
ADDI,17,0.0023
ACTI,523,0.05
EAU,4,0.5507
HUME,5,0.02
ACTI,22,0.01
ACTI,169,0.002
ADDI,17,0.0015
FSOL,2,0.09
COLO,70,0.0037
COLO,72,0.0001
COLO,69,0.002
CGRA,556,0.07
CGRA,15,0.01
EMUL,14,0.03
HUIL,13,0.04
HUIL,19,0.03
CGRA,1,0.01
CGRA,537,0.03
CONS,511,0.005
EAU,7,0.02
HUME,5,0.02
EXTS,503,0.005
ACTI,523,0.05
EAU,4,0.5682
HUME,5,0.02
ACTI,22,0.01
ACTI,169,0.002
ADDI,17,0.0005
FSOL,2,0.07
COLO,70,0.0024
COLO,72,0.0008
COLO,69,0.0051
CGRA,556,0.07
CGRA,15,0.01
EMUL,14,0.03
HUIL,13,0.04
HUIL,19,0.03
CGRA,1,0.01
CGRA,537,0.03
CONS,511,0.005
EAU,7,0.02
HUME,5,0.02
EXTS,503,0.005
ACTI,523,0.05
ADDI,17,0.001
EAU,4,0.5483199999999999
HUME,5,0.02
ACTI,22,0.01
ACTI,169,0.002
ADDI,17,0.0005
FSOL,2,0.09
COLO,70,0.0021
COLO,72,0.0006
COLO,69,0.0045
CGRA,556,0.07
CGRA,15,0.01
EMUL,14,0.03
HUIL,13,0.04
HUIL,19,0.03
CGRA,1,0.01
CGRA,537,0.03
CONS,511,0.005
EAU,7,0.02
HUME,5,0.02
EXTS,503,0.005
ACTI,523,0.05
ADDI,17,0.00198
EAU,4,0.9645
EXTS,503,0.01
ACTI,22,0.001
ACTI,270,0.003
ADDI,1,0.005
ADDI,527,0.0005
CONS,61,0.008
MOUS,37,0.008
HUME,23,0.01
EAU,4,0.51218
HUME,2,0.01
GELI,16,0.003
CONS,10,0.006
CONS,7,0.0015
FSOL,5,0.075
EMUL,20,0.04
SILI,28,0.03
ADDI,507,0.015
FSOL,3,0.03
FSOL,2,0.03
FSOL,48,0.05
CGRA,36,0.02
HUIL,44,0.04
GELI,27,0.005
FSOL,515,0.09
SILI,23,0.01
COLO,38,0.00988
COLO,39,0.00744
A2P,2,0.005
EAU,4,0.553
ACTI,270,0.002
ACTI,22,0.001
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
HUME,16,0.05
EXTR,262,0.04
EXTR,230,0.04
EXTR,225,0.04
EAU,4,0.5515
ACTI,270,0.002
ACTI,22,0.001
ACTI,169,0.004
EXTS,503,0.005
HUME,2,0.03
EMUL,53,0.08
HUIL,78,0.03
HUIL,44,0.02
HUIL,114,0.035
SILI,3,0.01
CGRA,22,0.05
ACTI,44,0.002
CONS,61,0.008
HUME,16,0.05
EXTR,262,0.04
EXTR,230,0.04
PARF,482,0.0015
EXTR,225,0.04
EAU,4,0.47
GELI,80,0.0185
ACTI,230,0.5
CONS,31,0.001
CONS,28,0.005
MOUS,9,0.005
PARF,381,0.0005
EAU,4,0.9235
ADDI,3,0.0005
CONS,28,0.01
EAU,10,0.03
ACTI,466,0.02
MOUS,9,0.01
PARF,375,0.001
ACTI,533,0.005
EAU,4,0.8035
ADDI,3,0.0005
CONS,28,0.01
EAU,10,0.15
ACTI,560,0.02
MOUS,9,0.01
PARF,375,0.001
ACTI,533,0.005
EAU,4,0.8085
ADDI,3,0.0005
CONS,28,0.01
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
PARF,375,0.001
EAU,4,0.7575
ADDI,3,0.0005
ACTI,270,0.003
HUME,9,0.05
CONS,11,0.005
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
PARF,375,0.001
EAU,4,0.7575
ADDI,3,0.0005
HUME,9,0.05
CONS,23,0.001
CONS,11,0.005
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
CONS,56,0.002
PARF,375,0.001
EAU,4,0.7375
ADDI,3,0.0005
HUME,9,0.07
CONS,23,0.001
CONS,11,0.005
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
CONS,56,0.002
PARF,375,0.001
EAU,4,0.7575
ADDI,3,0.0005
HUME,9,0.05
CONS,54,0.006
CONS,37,0.003
EAU,10,0.15
ACTI,854,0.02
MOUS,9,0.01
CONS,56,0.002
PARF,375,0.001
EAU,4,0.7607
ABC,17,0.0015
ADDI,3,0.0005
ABC,19,0.001
HUME,2,0.1
ABC,53,0.08
MOUS,9,0.02
PARF,379,0.0005
HUME,16,0.025
HUME,18,0.003
CONS,64,0.007
SOL,9,0.0008
EAU,4,0.47859
EXTR,225,0.2
CONS,35,0.005
CONS,21,0.003
GELI,87,0.005
CONS,68,0.005
HUME,2,0.03
GELI,18,0.003
MOUS,79,0.15
MOUS,34,0.1
PARF,351,0.005
ADDI,2,0.00041
EAU,3,0.01
EXTR,758,0.005
EAU,4,0.47859
EXTR,225,0.2
CONS,35,0.005
CONS,21,0.003
CONS,68,0.005
HUME,2,0.03
GELI,18,0.003
GELI,87,0.005
MOUS,79,0.15
MOUS,34,0.1
PARF,350,0.005
ADDI,2,0.00041
EAU,3,0.01
EXTR,757,0.005
EAU,4,0.48309
EXTR,225,0.2
CONS,35,0.005
CONS,21,0.003
CONS,68,0.005
HUME,2,0.03
GELI,18,0.003
GELI,87,0.005
MOUS,79,0.15
MOUS,34,0.1
PARF,643,0.005
ADDI,2,0.00041
EAU,3,0.01
ACTI,703,0.0005
EAU,4,0.48309
EXTR,225,0.2
CONS,35,0.005
CONS,21,0.003
CONS,68,0.005
HUME,2,0.03
GELI,18,0.003
GELI,87,0.005
MOUS,79,0.15
MOUS,34,0.1
ADDI,2,0.00041
EAU,3,0.01
EAU,4,0.4335
EXTR,229,0.2
HUME,2,0.03
GELI,18,0.005
EMUL,76,0.04
CGRA,581,0.07
CGRA,14,0.007
CGRA,6,0.01
CGRA,4,0.02
CGRA,17,0.07
HUIL,19,0.05
ADDI,130,0.03
ACTI,703,0.001
EAU,3,0.019
CONS,63,0.01
EAU,4,0.423452
EXTR,229,0.2
HUME,2,0.03
GELI,18,0.005
EMUL,76,0.04
CGRA,581,0.07
CGRA,14,0.007
CGRA,6,0.01
CGRA,4,0.02
CGRA,17,0.07
HUIL,19,0.05
ADDI,130,0.03
CONS,63,0.01
ACTI,703,0.001
EAU,9,0.019
EAU,3,0.01
ADDI,98,4.8e-05
PARF,643,0.0045
EAU,4,0.411
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.015
HUIL,51,0.02
HUIL,95,0.05
CONS,63,0.01
EAU,3,0.019
ACTI,703,0.001
PARF,635,0.005
EAU,4,0.31585
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.07
HUIL,51,0.02
HUIL,95,0.05
EAU,3,0.01
ADDI,98,0.00015
ADDI,130,0.03
CONS,63,0.01
EAU,3,0.019
ACTI,703,0.001
PARF,643,0.005
EAU,4,0.521
EXTR,229,0.15
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.07
HUIL,51,0.02
HUIL,19,0.05
ADDI,130,0.01
CONS,63,0.01
EAU,4,0.434
EXTR,229,0.2
HUME,2,0.03
GELI,18,0.005
EMUL,76,0.04
CGRA,581,0.07
CGRA,14,0.007
CGRA,6,0.01
CGRA,4,0.02
CGRA,17,0.07
HUIL,19,0.05
ADDI,130,0.03
CONS,63,0.01
EXTR,383,0.02
PARF,86,0.004
EAU,4,0.423952
EXTR,229,0.2
HUME,2,0.03
GELI,18,0.005
EMUL,76,0.04
CGRA,581,0.07
CGRA,14,0.007
CGRA,6,0.01
CGRA,4,0.02
CGRA,17,0.07
HUIL,19,0.05
ADDI,130,0.03
CONS,63,0.01
EXTR,383,0.02
EAU,3,0.01
ADDI,98,4.8e-05
PARF,350,0.004
EAU,4,0.438
EXTR,229,0.2
GELI,18,0.005
HUME,2,0.03
EMUL,76,0.04
CGRA,581,0.07
CGRA,14,0.007
CGRA,6,0.01
CGRA,4,0.02
CGRA,17,0.07
HUIL,19,0.05
ADDI,130,0.03
CONS,63,0.01
EAU,4,0.412
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.015
HUIL,51,0.02
HUIL,95,0.05
CONS,63,0.01
EXTR,383,0.02
PARF,86,0.004
EAU,4,0.31685
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.07
HUIL,51,0.02
HUIL,95,0.05
EAU,3,0.01
ADDI,98,0.00015
ADDI,130,0.03
CONS,63,0.01
EXTR,383,0.02
PARF,350,0.004
EAU,4,0.438
EXTR,229,0.2
HUME,2,0.03
GELI,18,0.005
EMUL,76,0.04
CGRA,581,0.07
CGRA,14,0.007
CGRA,6,0.01
CGRA,4,0.02
CGRA,17,0.07
HUIL,19,0.05
ADDI,130,0.03
CONS,63,0.01
EAU,4,0.576
EXTR,229,0.15
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.005
HUIL,51,0.02
HUIL,95,0.05
CONS,63,0.01
EAU,4,0.41
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.015
HUIL,51,0.02
HUIL,95,0.05
CONS,63,0.01
EXTR,758,0.02
PARF,636,0.006
EAU,4,0.31485
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.07
HUIL,51,0.02
HUIL,95,0.05
EAU,3,0.01
ADDI,98,0.00015
ADDI,130,0.03
CONS,63,0.01
EXTR,758,0.02
PARF,351,0.006
EAU,4,0.416
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.015
HUIL,51,0.02
HUIL,95,0.05
CONS,63,0.01
EAU,4,0.31585
EXTR,229,0.3
HUME,2,0.03
GELI,18,0.004
EMUL,76,0.04
CGRA,581,0.05
CGRA,14,0.01
CGRA,6,0.015
CGRA,4,0.02
CGRA,17,0.07
HUIL,51,0.02
HUIL,95,0.05
EAU,3,0.01
ADDI,98,0.00015
ADDI,130,0.03
CONS,63,0.01
EAU,4,0.2
ACTI,218,0.01
ADDI,98,0.0012
EAU,4,0.3998
ADDI,161,0.02
HUME,14,0.03
GELI,35,0.002
EMUL,12,0.048
AIN,1,0.02
HUIL,143,0.03
ADDI,151,0.05
ACTI,536,0.0005
AIN,2,0.03
EAU,3,0.08
ACTI,856,0.003
ACTI,38,0.01
ACTI,263,0.02
AIN,10,0.004
ADDI,136,0.0015
CONS,69,0.04
EAU,4,0.6091
ACTI,218,0.01
ADDI,98,0.0024
ADDI,161,0.03
HUME,14,0.03
GELI,35,0.0025
EMUL,12,0.042
EMUL,47,0.01
AIN,1,0.06
HUIL,216,0.05
ADDI,151,0.03
ACTI,536,0.0005
HUIL,137,0.04
ACTI,185,0.01
AIN,2,0.02
ACTI,856,0.003
ADDI,136,0.0015
ACTI,564,0.005
AIN,10,0.004
ACTI,38,0.01
CONS,69,0.03
CGRA,523,0.18
HUIL,18,0.18045
AIN,1,0.06
AIN,3,0.2
AIN,2,0.184
AIN,8,0.04
CGRA,581,0.15
AIN,5,0.004
AIN,2,0.02
AIN,1,0.04
ACTI,734,0.04
AIN,3,0.08
ACTI,683,0.01
CGRA,75,0.4
CGRA,74,0.35
ACTI,536,0.00155
HUIL,263,0.05305
AIN,7,0.0004
AIN,6,0.005
EAU,4,0.392
ADDI,188,0.045
EAU,4,0.2
ACTI,218,0.01
ADDI,98,0.00015
EAU,3,0.00485
HUME,14,0.05
GELI,35,0.003
EMUL,12,0.026
EMUL,47,0.016
AIN,1,0.02
CGRA,523,0.05
HUIL,264,0.04
AIN,2,0.02
ACTI,536,0.00155
ACTI,438,0.01
ACTI,185,0.01
HUIL,137,0.03045
CONS,69,0.04
ACTI,707,0.01
ADDI,189,0.00096
ACTI,38,0.01
AIN,4,0.01
EAU,4,0.662
HUME,2,0.03
ACTI,270,0.005
HUME,17,0.03
EMUL,53,0.06
CGRA,1,0.025
SILI,28,0.025
GELI,78,0.003
EAU,3,0.1
ACTI,19,0.04
ACTI,183,0.01
CONS,63,0.01
EAU,4,0.7572
ACTI,3,0.001
HUME,5,0.04
