acronym,code,concentration
ACTI,4,0.01
ACTI,73,0.01
SOL,9,0.0008
SOL,24,0.0001
PARF,409,0.001
EAU,4,0.7528
ADDI,27,0.08
ADDI,10,0.02
ACTI,270,0.004
GELI,75,0.04
HUME,9,0.02
CONS,54,0.01
PARF,409,0.001
EAU,3,0.05
ACTI,4,0.01
ACTI,490,0.001
ACTI,73,0.01
SOL,9,0.0008
SOL,24,0.0004
EAU,4,0.7533
ADDI,27,0.08
ADDI,10,0.02
ACTI,270,0.004
GELI,75,0.04
HUME,9,0.02
CONS,54,0.01
PARF,409,0.0005
EAU,3,0.05
ACTI,4,0.01
ACTI,490,0.001
ACTI,73,0.01
SOL,9,0.0008
SOL,24,0.0004
EAU,8,0.69055
ADDI,3,0.001
GELI,55,0.0125
ADDI,98,0.00375
GELI,32,0.003
GELI,21,0.006
MOUS,50,0.1
ADDI,2,0.01
MOUS,12,0.03
ACTI,87,0.0067
MOUS,29,0.08
HUME,16,0.01
CONS,37,0.002
PARF,302,0.0025
CONS,64,0.004
MOUS,37,0.016
FSOL,17,0.001
ACTI,847,0.015
ACTI,78,0.005
ACTI,73,0.0005
ACTI,533,0.0005
MOUS,50,0.1
ADDI,2,0.01
MOUS,12,0.03
ACTI,87,0.0067
MOUS,29,0.08
EAU,8,0.6753
ADDI,3,0.001
GELI,68,0.015
ADDI,98,0.0045
HUME,16,0.01
CONS,37,0.002
GELI,21,0.006
ACTI,78,0.005
ACTI,223,0.01
PARF,302,0.0025
CONS,64,0.004
MOUS,37,0.016
FSOL,17,0.001
EAU,8,0.02
ACTI,73,0.0005
ACTI,533,0.0005
EAU,8,0.6988
ADDI,3,0.001
GELI,48,0.01
ADDI,2,0.01
MOUS,12,0.03
ACTI,87,0.0067
MOUS,29,0.08
ADDI,98,0.0045
MOUS,50,0.1
HUME,16,0.01
CONS,37,0.002
ACTI,78,0.005
ACTI,223,0.01
PARF,302,0.001
CONS,64,0.004
MOUS,37,0.005
FSOL,17,0.001
EAU,8,0.02
ACTI,73,0.0005
ACTI,533,0.0005
EAU,8,0.59806
GELI,48,0.1
ACTI,87,0.0067
MOUS,29,0.08
ADDI,98,0.00624
MOUS,50,0.1
ADDI,2,0.01
MOUS,12,0.03
HUME,16,0.01
CONS,37,0.002
PARF,302,0.001
CONS,64,0.004
MOUS,37,0.005
FSOL,17,0.001
ACTI,73,0.0005
ACTI,533,0.0005
MOUS,41,0.03
ACTI,78,0.005
ACTI,223,0.01
EAU,8,0.59856
GELI,48,0.1
ACTI,87,0.0067
MOUS,29,0.08
ADDI,98,0.00624
MOUS,50,0.1
ADDI,2,0.01
MOUS,12,0.03
HUME,16,0.01
CONS,37,0.002
PARF,302,0.0005
CONS,64,0.004
MOUS,37,0.005
FSOL,17,0.001
ACTI,73,0.0005
ACTI,533,0.0005
MOUS,41,0.03
ACTI,78,0.005
ACTI,223,0.01
EAU,8,0.869999
ADDI,3,0.0005
HUME,2,0.02
GELI,80,0.008
MOUS,9,0.02
PARF,492,0.0005
CONS,37,0.003
HUME,16,0.02
CONS,23,0.001
EAU,3,0.05
ACTI,73,0.001
ACTI,490,0.001
SOL,24,1e-06
ACTI,4,0.005
EAU,8,0.869766
ADDI,3,0.0005
FSOL,6,0.0005
HUME,2,0.02
GELI,80,0.008
MOUS,9,0.02
PARF,492,0.0002
CONS,37,0.003
HUME,16,0.02
CONS,23,0.001
EAU,3,0.05
ACTI,73,0.001
ACTI,490,0.001
SOL,9,2.5e-05
SOL,24,9e-06
ACTI,4,0.005
EAU,4,0.74501
HUME,2,0.03
GELI,68,0.003
ADDI,98,0.00099
EMUL,3,0.003
CGRA,15,0.006
CGRA,1,0.005
HUIL,18,0.03
SILI,7,0.05
CONS,37,0.003
CONS,23,0.001
HUME,16,0.02
ACTI,120,0.03
ACTI,207,0.04
ACTI,4,0.02
ACTI,73,0.001
ACTI,490,0.01
PARF,102,0.0012
SOL,9,0.00017
SOL,24,0.0001
GELI,15,0.0077
EAU,4,0.74501
HUME,2,0.03
GELI,68,0.003
ADDI,98,0.00099
EMUL,3,0.003
CGRA,15,0.006
CGRA,1,0.005
HUIL,18,0.03
SILI,7,0.05
CONS,37,0.003
CONS,23,0.001
HUME,16,0.02
ACTI,120,0.03
ACTI,207,0.04
ACTI,4,0.02
ACTI,73,0.001
ACTI,490,0.01
PARF,102,0.0005
SOL,9,0.00017
SOL,24,0.0001
GELI,15,0.0077
EAU,4,0.6265000000000001
ACTI,270,0.003
GELI,17,0.003
HUME,2,0.05
ADDI,3,0.0005
EMUL,3,0.05
HUIL,18,0.02
CGRA,1,0.01
ABC,120,0.02
HUIL,36,0.03
HUIL,174,0.03
HUIL,4,0.02
SILI,7,0.02
ADDI,98,0.0006
HUME,16,0.01
CONS,37,0.003
CONS,23,0.001
EAU,4,0.05
ACTI,4,0.02
ACTI,73,0.001
